ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2887985,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,17,Collins Place (South),77
2887986,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,18,Collins Place (North),47
2887987,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,53,Collins St (North),172
2887988,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,2,Bourke Street Mall (South),189
2887989,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,1,Bourke Street Mall (North),205
2887990,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,3,Melbourne Central,986
2887991,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,15,State Library,302
2887992,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,9,Southern Cross Station,28
2887993,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,10,Victoria Point,13
2887994,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,12,New Quay,75
2887995,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,11,Waterfront City,17
2887996,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,8,Webb Bridge,17
2887997,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,7,Birrarung Marr,54
2887998,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,5,Princes Bridge,614
2887999,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,6,Flinders Street Station Underpass,796
2888000,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,14,Sandridge Bridge,12
2888001,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,26,QV Market-Elizabeth St (West),249
2888002,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,24,Spencer St-Collins St (North),361
2888003,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,23,Spencer St-Collins St (South),90
2888004,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,25,Melbourne Convention Exhibition Centre,453
2888005,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,21,Bourke St-Russell St (West),623
2888006,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,20,Chinatown-Lt Bourke St (South),228
2888007,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,19,Chinatown-Swanston St (North),399
2888008,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,22,Flinders St-Elizabeth St (East),743
2888009,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,27,QV Market-Peel St,46
2888010,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,28,The Arts Centre,185
2888011,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,31,Lygon St (West),178
2888012,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,30,Lonsdale St (South),556
2888013,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,34,Flinders St-Spark La,21
2888014,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,39,Alfred Place,52
2888015,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,37,Lygon St (East),45
2888016,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,40,Lonsdale St-Spring St (West),76
2888017,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,36,Queen St (West),254
2888018,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,29,St Kilda Rd-Alexandra Gardens,118
2888019,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,42,Grattan St-Swanston St (West),174
2888020,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,43,Monash Rd-Swanston St (West),26
2888021,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,44,Tin Alley-Swanston St (West),24
2888022,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,35,Southbank,421
2888023,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,45,Little Collins St-Swanston St (East),465
2888024,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,46,Pelham St (S),32
2888025,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,47,Melbourne Central-Elizabeth St (East),408
2888026,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,48,QVM-Queen St (East),59
2888027,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,49,QVM-Therry St (South),119
2888028,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,50,Faraday St-Lygon St (West),81
2888029,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,51,QVM-Franklin St (North),62
2888030,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,52,Elizabeth St-Lonsdale St (South),263
2888031,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,54,Lincoln-Swanston(West),68
2888032,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,55,Elizabeth St-La Trobe St (East),470
2888033,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,56,Lonsdale St - Elizabeth St (North),102
2888034,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,57,Bourke St Bridge,35
2888035,11/02/2019 12:00:00 AM,2019,November,2,Saturday,0,58,Bourke St - Spencer St (North),246
